로트번호,설비,작업조,원자재공급사,용접전류,용접속도,예열온도,판두께,작업시간,습도,품질판정
LOT00021,2호기,A조,가공업체,189.7,48.1,155.5,5.84,27.0,61.3,양품
LOT00022,1호기,A조,다공업체,142.8,38.35,170.4,7.53,22.2,50.9,불량
LOT00023,1호기,C조,다공업체,187.1,43.44,151.7,5.82,56.8,48.5,양품
LOT00024,3호기,A조,가공업체,206.8,30.38,134.1,6.25,28.0,40.6,양품
LOT00025,2호기,C조,나공업체,175.7,42.48,151.6,6.47,42.1,69.5,양품
LOT00026,4호기,A조,나공업체,158.3,44.1,163.7,5.1,34.7,64.0,불량
LOT00027,3호기,B조,다공업체,194.5,27.77,156.7,5.3,44.0,44.1,불량
LOT00028,3호기,B조,가공업체,162.0,39.05,128.3,6.56,30.0,34.1,양품
LOT00029,1호기,C조,가공업체,185.0,30.55,109.6,6.58,36.3,48.7,양품
LOT00030,1호기,B조,가공업체,178.3,38.8,176.1,4.71,38.5,59.0,양품
LOT00031,2호기,B조,가공업체,183.6,39.39,126.3,6.55,32.8,58.3,양품
LOT00032,1호기,B조,가공업체,182.8,35.84,164.2,4.04,45.0,35.3,양품
LOT00033,1호기,B조,가공업체,173.5,41.96,153.0,4.6,41.6,83.3,양품
LOT00034,3호기,C조,나공업체,169.7,43.16,205.0,8.59,45.7,41.9,양품
LOT00035,2호기,A조,가공업체,186.6,43.95,158.9,6.15,46.9,59.7,양품
LOT00036,4호기,A조,가공업체,198.9,41.66,145.9,6.63,29.3,54.5,불량
LOT00037,2호기,C조,가공업체,183.4,37.38,147.6,5.93,42.4,37.0,양품
LOT00038,3호기,A조,가공업체,179.6,40.55,148.8,5.62,37.1,62.1,양품
LOT00039,2호기,C조,가공업체,179.4,49.29,172.4,7.07,55.6,64.8,양품
LOT00040,3호기,B조,가공업체,158.9,43.95,143.4,4.51,35.3,52.1,불량
LOT00041,1호기,B조,가공업체,186.6,37.9,151.2,6.63,26.3,63.9,양품
LOT00042,2호기,A조,나공업체,171.9,27.81,149.1,5.25,43.6,54.4,양품
LOT00043,4호기,C조,가공업체,165.1,38.0,163.8,7.7,34.7,63.3,양품
LOT00044,1호기,B조,가공업체,188.1,40.82,,7.6,49.9,52.6,양품
LOT00045,2호기,A조,가공업체,187.8,30.7,129.5,6.28,20.4,79.9,양품
LOT00046,2호기,A조,다공업체,194.3,37.04,149.5,5.61,33.4,57.0,양품
LOT00047,4호기,C조,다공업체,188.5,41.88,132.6,6.76,38.0,44.9,양품
LOT00048,2호기,A조,다공업체,201.9,49.14,171.1,7.6,59.4,64.6,불량
LOT00049,1호기,B조,나공업체,196.8,48.77,154.3,5.05,52.5,69.9,불량
LOT00050,4호기,A조,가공업체,175.3,47.26,,6.17,34.8,52.5,양품
LOT00051,1호기,B조,가공업체,207.4,45.01,161.4,7.06,36.9,68.2,양품
LOT00052,3호기,B조,가공업체,183.0,41.2,118.0,6.7,36.5,47.5,양품
LOT00053,3호기,C조,가공업체,218.2,36.63,147.2,5.48,48.6,54.8,양품
LOT00054,1호기,A조,나공업체,190.5,45.43,155.9,5.97,35.7,44.7,양품
LOT00055,4호기,C조,가공업체,194.1,55.7,123.2,6.32,30.8,49.6,양품
LOT00056,1호기,B조,가공업체,200.1,44.25,123.8,7.16,41.5,34.4,불량
LOT00057,4호기,A조,가공업체,194.7,32.72,168.4,5.31,29.2,41.7,불량
LOT00058,3호기,A조,가공업체,185.6,44.86,145.8,4.43,33.9,49.6,양품
LOT00059,3호기,B조,가공업체,188.7,37.81,162.0,7.42,35.9,56.2,양품
LOT00060,2호기,B조,나공업체,187.4,43.71,116.4,6.62,29.6,57.7,불량
LOT00061,2호기,A조,다공업체,172.3,32.09,162.0,7.3,26.6,64.3,양품
LOT00062,1호기,C조,가공업체,172.7,45.83,159.1,5.55,32.8,52.4,양품
LOT00063,3호기,A조,가공업체,199.4,40.19,123.9,6.72,31.4,60.1,양품
LOT00064,1호기,B조,다공업체,181.3,41.77,176.7,6.34,38.5,36.4,양품
LOT00065,1호기,A조,다공업체,169.4,50.03,164.8,5.66,34.5,61.0,양품
LOT00066,1호기,B조,가공업체,179.7,43.12,166.6,5.02,39.4,45.7,양품
LOT00067,1호기,B조,가공업체,192.8,48.48,95.9,5.35,38.6,53.7,불량
LOT00068,3호기,C조,가공업체,183.4,43.8,167.8,6.4,43.9,80.4,양품
LOT00069,2호기,C조,다공업체,163.6,38.76,155.4,6.43,30.5,47.0,양품
LOT00070,1호기,B조,가공업체,153.5,41.3,137.2,6.29,43.0,64.6,양품
LOT00071,2호기,B조,가공업체,196.0,43.4,107.7,4.95,35.4,60.6,불량
LOT00072,1호기,B조,가공업체,178.5,41.31,166.9,6.55,36.9,64.5,양품
LOT00073,2호기,B조,나공업체,163.4,52.52,159.7,4.18,49.9,32.0,양품
LOT00074,4호기,C조,가공업체,195.5,36.44,166.3,6.01,34.1,49.7,양품
LOT00075,1호기,C조,가공업체,188.6,49.76,154.5,4.7,35.6,39.8,양품
LOT00076,1호기,B조,나공업체,179.4,43.57,132.8,5.69,38.0,59.1,양품
LOT00077,4호기,A조,가공업체,200.3,44.3,175.8,4.61,40.3,64.4,양품
LOT00078,4호기,C조,가공업체,190.5,39.59,120.5,6.13,35.2,45.5,양품
LOT00079,3호기,A조,가공업체,158.6,41.48,159.1,5.22,42.8,65.1,불량
LOT00080,3호기,A조,가공업체,163.7,35.56,151.6,7.05,29.1,67.6,양품
LOT00081,3호기,C조,가공업체,205.9,43.7,149.4,6.94,52.3,60.5,불량
LOT00082,3호기,B조,다공업체,175.6,43.54,131.3,6.26,52.6,43.3,양품
LOT00083,3호기,A조,가공업체,172.5,35.07,157.5,6.31,33.7,61.8,양품
LOT00084,1호기,A조,나공업체,172.1,37.48,144.8,5.36,41.0,55.3,양품
LOT00085,2호기,C조,나공업체,187.1,41.82,,5.88,38.8,44.0,양품
LOT00086,1호기,C조,가공업체,183.2,38.78,131.6,7.33,46.6,55.0,양품
LOT00087,2호기,B조,가공업체,165.6,46.76,121.2,6.17,36.8,58.6,불량
LOT00088,1호기,C조,나공업체,168.2,41.49,133.3,6.87,40.8,45.8,불량
LOT00089,2호기,C조,나공업체,215.0,47.01,155.8,6.38,36.4,31.6,양품
LOT00090,3호기,B조,가공업체,178.5,39.3,,6.27,42.2,56.6,양품
LOT00091,3호기,C조,가공업체,172.3,39.81,167.9,6.3,36.8,41.2,불량
LOT00092,3호기,C조,가공업체,182.5,45.68,162.4,6.19,51.6,64.9,불량
LOT00093,1호기,B조,가공업체,189.3,35.95,123.1,6.47,34.3,40.5,양품
LOT00094,3호기,B조,가공업체,214.4,43.29,155.4,5.04,52.1,44.9,양품
LOT00095,1호기,A조,다공업체,182.5,40.4,164.0,6.87,44.0,69.2,양품
LOT00096,1호기,C조,가공업체,174.8,40.98,138.4,6.88,29.0,38.0,양품
LOT00097,2호기,A조,가공업체,189.8,48.8,168.6,5.94,25.9,68.6,양품
LOT00098,1호기,A조,다공업체,199.8,36.56,167.7,6.12,30.7,67.2,양품
LOT00099,2호기,C조,다공업체,188.3,48.17,128.5,6.41,44.5,50.5,불량
LOT00100,1호기,B조,가공업체,161.7,49.03,160.0,4.96,25.3,46.4,양품
LOT00101,3호기,A조,가공업체,211.2,49.27,125.9,5.82,34.9,54.4,양품
LOT00102,2호기,B조,나공업체,184.5,48.34,137.7,7.04,40.4,62.2,불량
LOT00103,2호기,B조,나공업체,198.6,35.32,129.3,6.69,34.1,39.3,양품
LOT00104,2호기,C조,나공업체,176.4,37.05,176.9,5.93,32.6,51.2,양품
LOT00105,3호기,B조,나공업체,211.7,43.81,151.2,4.74,33.8,73.7,불량
LOT00106,2호기,B조,나공업체,182.2,44.54,142.4,5.73,43.8,71.9,불량
LOT00107,2호기,A조,가공업체,154.1,35.04,172.1,6.43,41.5,45.6,양품
LOT00108,2호기,A조,다공업체,180.4,40.6,147.9,6.07,43.2,71.8,불량
LOT00109,2호기,C조,가공업체,154.6,42.44,171.6,5.69,33.7,71.0,양품
LOT00110,1호기,B조,가공업체,180.9,35.06,136.8,6.73,23.0,79.9,양품
LOT00111,1호기,C조,나공업체,184.7,38.7,132.7,7.08,40.9,32.8,양품
LOT00112,3호기,C조,가공업체,177.9,45.84,,6.81,27.2,85.6,양품
LOT00113,4호기,A조,나공업체,193.0,32.58,153.5,6.29,27.6,32.9,양품
LOT00114,1호기,B조,가공업체,169.8,44.97,135.3,7.28,21.2,61.3,양품
LOT00115,4호기,A조,나공업체,175.7,36.43,153.4,6.1,26.6,44.0,양품
LOT00116,3호기,B조,다공업체,203.7,39.22,147.6,6.68,30.4,43.0,불량
LOT00117,3호기,B조,가공업체,194.8,39.18,154.9,5.33,40.4,54.6,양품
LOT00118,3호기,C조,나공업체,153.2,35.45,139.1,5.81,50.4,45.9,불량
LOT00119,3호기,B조,나공업체,184.9,45.91,,7.63,31.5,57.0,양품
LOT00120,3호기,C조,다공업체,180.4,42.32,154.0,6.23,29.9,44.4,양품
LOT00121,1호기,B조,가공업체,184.1,38.45,144.4,5.57,52.7,42.0,양품
LOT00122,2호기,C조,다공업체,207.9,30.43,133.6,7.8,27.3,71.2,불량
LOT00123,3호기,C조,다공업체,196.8,50.11,147.5,7.49,29.8,28.4,불량
LOT00124,1호기,B조,나공업체,157.4,47.54,187.6,7.16,37.7,50.9,양품
LOT00125,1호기,A조,가공업체,186.7,48.03,142.8,7.86,18.3,75.7,양품
LOT00126,4호기,B조,가공업체,180.1,40.83,149.8,6.17,45.1,50.3,양품
LOT00127,1호기,B조,나공업체,182.7,43.1,153.6,6.05,43.9,54.9,양품
LOT00128,2호기,C조,가공업체,185.0,42.87,138.6,7.11,48.4,59.5,양품
LOT00129,1호기,C조,가공업체,174.4,43.7,143.4,6.27,31.2,49.4,불량
LOT00130,2호기,A조,가공업체,182.7,40.37,133.0,6.26,26.9,63.2,양품
LOT00131,3호기,A조,나공업체,197.2,44.42,171.8,6.91,32.9,50.8,양품
LOT00132,1호기,C조,다공업체,165.1,40.68,163.9,5.14,28.5,41.8,불량
LOT00133,3호기,B조,가공업체,196.9,41.01,117.5,5.92,37.1,53.2,불량
LOT00134,1호기,C조,가공업체,170.3,41.08,178.5,5.66,42.8,62.2,양품
LOT00135,3호기,B조,나공업체,174.6,48.18,116.4,5.53,38.2,67.7,불량
LOT00136,2호기,B조,나공업체,205.3,36.89,138.6,7.25,29.7,46.6,양품
LOT00137,1호기,C조,다공업체,191.7,45.56,153.3,4.78,36.5,80.4,양품
LOT00138,2호기,C조,가공업체,167.1,43.34,146.2,6.47,28.9,51.0,양품
LOT00139,4호기,C조,가공업체,177.5,47.65,140.8,4.96,31.5,56.7,양품
LOT00140,2호기,C조,나공업체,201.6,44.49,128.5,6.42,45.9,42.7,양품
LOT00141,4호기,A조,가공업체,182.7,45.0,160.0,7.02,43.6,54.9,양품
LOT00142,1호기,B조,나공업체,187.4,37.01,131.7,6.24,45.7,58.2,양품
LOT00143,4호기,B조,나공업체,193.3,44.63,157.7,4.84,27.8,37.1,불량
LOT00144,1호기,C조,나공업체,204.2,58.37,154.0,6.94,39.3,60.6,불량
LOT00145,2호기,B조,나공업체,177.0,43.47,158.9,5.08,32.2,76.0,양품
LOT00146,3호기,C조,가공업체,212.9,36.56,,8.06,51.5,69.6,불량
LOT00147,1호기,C조,다공업체,187.5,42.91,177.9,6.31,43.3,45.9,양품
LOT00148,3호기,A조,가공업체,202.1,37.06,178.7,6.43,36.9,53.3,양품
LOT00149,1호기,C조,가공업체,164.4,40.62,160.5,5.98,39.8,51.7,양품
LOT00150,3호기,A조,나공업체,169.3,47.72,154.2,7.14,21.5,49.5,양품
LOT00151,1호기,A조,가공업체,187.7,46.58,160.9,5.47,32.9,60.8,양품
LOT00152,1호기,B조,나공업체,191.0,43.96,135.7,6.21,44.2,57.8,양품
LOT00153,2호기,B조,가공업체,176.7,43.82,171.1,6.68,52.5,38.0,양품
LOT00154,2호기,A조,가공업체,176.6,44.41,138.6,6.14,35.0,56.8,양품
LOT00155,1호기,B조,가공업체,163.2,40.63,151.4,6.08,38.2,39.6,양품
LOT00156,1호기,A조,나공업체,173.4,42.7,157.9,6.9,42.0,57.4,양품
LOT00157,3호기,B조,다공업체,186.3,50.58,121.2,5.73,27.7,63.7,불량
LOT00158,2호기,C조,다공업체,181.8,43.77,145.8,5.41,56.2,52.3,양품
LOT00159,2호기,A조,나공업체,168.5,37.96,163.9,6.57,44.6,71.8,양품
LOT00160,1호기,B조,가공업체,194.8,40.82,148.2,6.63,23.0,58.3,양품
LOT00161,4호기,C조,나공업체,191.6,44.41,140.8,6.41,34.1,71.3,양품
LOT00162,3호기,C조,가공업체,187.4,37.29,179.6,5.6,29.0,44.1,양품
LOT00163,4호기,B조,가공업체,201.3,48.0,165.1,5.57,49.8,56.7,양품
LOT00164,1호기,B조,다공업체,199.2,41.34,146.6,6.13,37.1,41.5,양품
LOT00165,1호기,A조,나공업체,174.3,49.63,126.7,5.99,24.3,54.9,불량
LOT00166,2호기,A조,가공업체,159.4,45.1,149.4,6.36,28.5,55.6,양품
LOT00167,3호기,C조,나공업체,207.1,36.55,147.1,4.41,40.4,40.1,양품
LOT00168,4호기,B조,다공업체,192.9,30.66,112.7,5.73,22.8,72.8,불량
LOT00169,2호기,B조,가공업체,193.0,29.05,129.9,8.67,27.2,61.2,양품
LOT00170,4호기,B조,다공업체,171.4,41.18,155.9,5.45,25.8,69.2,불량
LOT00171,2호기,A조,다공업체,189.7,32.2,129.5,6.57,40.6,48.6,양품
LOT00172,2호기,B조,가공업체,192.9,37.22,148.5,6.59,29.4,34.7,양품
LOT00173,3호기,B조,가공업체,180.8,33.55,129.3,4.37,32.4,73.3,불량
LOT00174,4호기,C조,가공업체,181.0,40.03,133.7,5.86,47.9,47.3,양품
LOT00175,1호기,B조,나공업체,187.8,36.63,127.8,5.16,42.1,80.5,양품
LOT00176,3호기,C조,가공업체,184.1,37.35,137.9,6.31,17.2,56.3,양품
LOT00177,3호기,B조,나공업체,177.9,42.18,129.1,4.91,57.3,44.2,불량
LOT00178,2호기,B조,가공업체,179.2,41.59,176.0,5.47,18.9,56.9,양품
LOT00179,1호기,A조,나공업체,196.7,38.56,161.5,6.7,45.6,57.4,양품
LOT00180,3호기,A조,다공업체,179.5,40.59,146.6,5.36,43.5,63.4,양품
LOT00181,4호기,A조,나공업체,188.5,49.49,134.5,6.46,33.1,53.5,양품
LOT00182,2호기,B조,가공업체,203.7,53.79,136.1,8.24,30.0,47.4,불량
LOT00183,2호기,C조,나공업체,179.3,41.68,,4.23,39.8,47.2,불량
LOT00184,2호기,C조,나공업체,171.4,42.26,123.6,6.3,30.6,67.3,양품
LOT00185,3호기,A조,나공업체,195.2,30.01,151.0,6.12,44.8,37.7,양품
LOT00186,3호기,C조,가공업체,179.5,50.22,158.1,5.37,46.5,50.9,불량
LOT00187,2호기,A조,가공업체,178.8,46.8,148.1,6.35,21.6,67.7,불량
LOT00188,3호기,A조,가공업체,207.4,38.94,146.3,6.37,40.2,55.1,불량
LOT00189,2호기,B조,다공업체,183.7,51.45,130.0,6.13,47.2,63.8,불량
LOT00190,3호기,A조,다공업체,196.5,35.99,143.1,6.21,32.2,57.2,양품
LOT00191,3호기,A조,가공업체,188.6,52.23,186.6,5.83,40.1,60.7,양품
LOT00192,2호기,B조,가공업체,181.1,34.16,155.9,7.22,44.1,46.4,양품
LOT00193,4호기,A조,가공업체,205.9,36.36,147.5,6.62,38.9,67.9,불량
LOT00194,3호기,A조,나공업체,200.7,40.47,165.9,5.92,28.4,50.3,양품
LOT00195,1호기,A조,가공업체,185.3,47.21,,4.79,21.5,31.1,양품
LOT00196,3호기,B조,나공업체,163.4,41.28,149.7,5.96,44.7,53.6,불량
LOT00197,1호기,A조,가공업체,186.7,41.6,132.6,7.35,38.0,78.8,양품
LOT00198,2호기,B조,가공업체,186.9,32.16,116.9,5.8,40.1,36.7,양품
LOT00199,3호기,A조,가공업체,183.4,37.73,139.4,5.53,40.0,56.7,불량
LOT00200,4호기,C조,가공업체,176.9,34.27,141.5,5.76,40.8,49.9,양품
LOT00201,3호기,B조,가공업체,196.7,40.54,152.2,5.84,35.4,55.8,양품
LOT00202,2호기,A조,가공업체,193.9,46.0,119.3,6.1,35.6,50.4,양품
LOT00203,3호기,B조,다공업체,190.8,42.07,155.7,4.99,35.0,66.4,불량
LOT00204,1호기,B조,가공업체,204.1,44.6,154.1,8.42,19.6,40.9,양품
LOT00205,2호기,B조,가공업체,183.6,48.2,136.8,5.52,40.7,63.0,양품
LOT00206,3호기,B조,가공업체,190.8,34.39,153.9,5.45,31.7,60.8,양품
LOT00207,1호기,C조,가공업체,166.1,45.2,127.1,4.65,50.0,57.0,불량
LOT00208,1호기,A조,가공업체,172.2,36.33,152.9,6.78,38.9,52.1,양품
LOT00209,1호기,B조,다공업체,185.8,44.49,119.7,4.74,42.9,83.3,양품
LOT00210,1호기,B조,나공업체,182.4,44.29,163.9,6.69,40.4,56.9,양품
LOT00211,1호기,B조,가공업체,196.6,34.21,159.1,8.76,32.4,51.1,양품
LOT00212,1호기,B조,나공업체,189.4,56.4,143.7,4.96,25.5,57.4,양품
LOT00213,1호기,C조,다공업체,185.6,27.41,141.5,6.89,32.8,60.1,불량
LOT00214,3호기,A조,다공업체,169.4,43.76,142.7,6.1,42.8,57.4,불량
LOT00215,1호기,A조,다공업체,185.5,38.47,171.1,7.24,35.0,40.1,불량
LOT00216,1호기,A조,나공업체,181.1,47.31,165.7,6.52,28.3,86.5,불량
LOT00217,2호기,C조,나공업체,180.5,49.03,120.7,5.65,48.6,66.1,양품
LOT00218,4호기,A조,가공업체,201.1,46.81,141.2,4.38,46.3,58.5,양품
LOT00219,3호기,B조,가공업체,193.0,46.61,153.6,6.11,34.5,49.5,양품
LOT00220,2호기,B조,나공업체,198.6,32.11,164.4,7.81,13.0,57.3,불량
LOT00221,3호기,C조,나공업체,177.8,39.24,,5.85,46.2,49.4,양품
LOT00222,4호기,A조,가공업체,179.6,31.25,121.1,7.07,37.0,60.0,양품
LOT00223,3호기,C조,나공업체,164.4,52.81,144.1,6.11,34.7,84.5,양품
LOT00224,2호기,C조,가공업체,195.4,43.12,177.6,6.17,37.0,42.2,양품
LOT00225,3호기,C조,가공업체,176.2,33.8,154.8,5.86,36.2,52.6,양품
LOT00226,2호기,C조,다공업체,171.0,44.54,110.7,5.02,21.8,53.7,양품
LOT00227,1호기,A조,나공업체,190.7,39.37,155.4,6.15,44.2,30.9,양품
LOT00228,1호기,B조,가공업체,196.6,37.2,133.5,6.99,42.1,62.8,양품
LOT00229,1호기,B조,가공업체,194.3,27.67,123.5,6.31,55.6,76.9,불량
LOT00230,1호기,B조,다공업체,170.1,43.46,129.2,4.81,42.8,56.9,불량
LOT00231,2호기,B조,가공업체,187.8,42.4,144.6,4.89,30.7,68.0,양품
LOT00232,4호기,C조,가공업체,204.3,40.21,174.9,6.43,27.8,55.0,양품
LOT00233,3호기,A조,가공업체,201.9,42.74,161.5,6.42,37.2,65.6,양품
LOT00234,1호기,A조,가공업체,187.6,45.79,144.5,6.82,20.4,63.8,양품
LOT00235,3호기,C조,나공업체,165.3,44.14,140.4,7.74,51.2,48.8,불량
LOT00236,2호기,A조,가공업체,181.4,40.86,128.5,5.72,45.1,71.0,불량
LOT00237,4호기,C조,가공업체,183.9,45.95,163.6,6.2,41.1,55.9,불량
LOT00238,3호기,A조,나공업체,154.3,53.76,127.2,5.7,38.2,46.6,불량
LOT00239,3호기,B조,나공업체,193.3,37.41,164.4,5.7,20.3,41.6,양품
LOT00240,1호기,B조,나공업체,180.4,42.7,159.3,6.27,31.4,54.4,양품
LOT00241,1호기,C조,가공업체,189.7,41.67,135.7,7.2,27.2,43.3,양품
LOT00242,3호기,A조,다공업체,160.1,45.05,146.4,6.03,49.9,70.5,불량
LOT00243,2호기,A조,가공업체,173.5,44.73,162.3,5.62,50.6,49.8,양품
LOT00244,2호기,C조,가공업체,152.9,43.47,142.2,5.38,25.1,47.2,양품
LOT00245,4호기,A조,다공업체,185.7,33.41,134.6,7.24,41.3,71.0,불량
LOT00246,3호기,B조,가공업체,175.9,41.78,,6.93,33.9,50.4,양품
LOT00247,3호기,B조,나공업체,181.3,32.33,154.6,5.78,23.6,66.8,양품
LOT00248,2호기,A조,다공업체,180.3,49.58,157.6,5.19,46.6,56.0,양품
LOT00249,1호기,C조,가공업체,171.7,54.34,134.1,4.71,33.1,44.5,양품
LOT00250,4호기,C조,가공업체,178.2,46.9,124.5,4.95,27.5,63.0,양품
LOT00251,1호기,A조,다공업체,203.1,48.95,174.0,6.74,36.1,60.6,양품
LOT00252,1호기,B조,나공업체,178.8,47.04,153.5,7.53,48.2,68.4,양품
LOT00253,1호기,B조,나공업체,176.4,45.73,176.9,5.23,33.7,66.3,불량
LOT00254,3호기,B조,나공업체,165.2,53.08,,6.99,39.6,79.0,불량
LOT00255,3호기,C조,다공업체,184.7,40.17,,6.94,43.2,54.4,양품
LOT00256,3호기,B조,나공업체,215.5,30.75,141.6,6.53,53.1,66.0,불량
LOT00257,3호기,A조,나공업체,173.9,44.24,142.7,5.89,22.2,75.0,불량
LOT00258,4호기,A조,가공업체,154.3,33.89,168.7,6.06,28.9,62.6,양품
LOT00259,2호기,B조,가공업체,204.4,35.77,132.6,6.85,33.5,33.5,불량
LOT00260,3호기,B조,다공업체,184.5,31.09,130.3,4.91,35.2,64.1,불량
LOT00261,2호기,B조,가공업체,195.6,40.88,119.1,8.42,41.5,70.6,양품
LOT00262,2호기,A조,가공업체,171.9,44.61,146.7,5.17,23.1,35.6,양품
LOT00263,3호기,B조,다공업체,210.6,38.79,168.2,5.75,14.5,79.4,불량
LOT00264,4호기,C조,가공업체,177.8,38.65,145.7,6.36,36.4,55.9,양품
LOT00265,3호기,A조,나공업체,205.5,44.23,140.2,7.12,46.4,82.5,양품
LOT00266,4호기,B조,나공업체,187.3,40.95,146.8,6.51,46.0,57.8,불량
LOT00267,1호기,C조,가공업체,187.4,45.56,152.4,4.82,52.5,45.3,양품
LOT00268,1호기,A조,나공업체,171.9,46.13,162.3,5.94,22.9,60.7,불량
LOT00269,4호기,C조,나공업체,176.3,28.99,145.7,6.11,33.5,54.5,양품
LOT00270,2호기,B조,가공업체,171.7,47.86,159.1,5.22,36.7,28.9,양품
LOT00271,4호기,A조,가공업체,177.7,36.48,143.2,4.75,33.8,59.7,양품
LOT00272,3호기,B조,가공업체,202.1,44.61,109.8,5.63,56.9,55.9,불량
LOT00273,3호기,A조,가공업체,200.3,43.15,155.6,4.58,42.8,40.7,양품
LOT00274,4호기,C조,다공업체,189.8,42.25,121.4,6.09,30.9,39.7,양품
LOT00275,4호기,B조,가공업체,188.9,35.54,141.6,7.95,46.5,40.0,불량
LOT00276,2호기,A조,나공업체,187.6,36.99,147.1,6.84,33.0,45.5,양품
LOT00277,4호기,B조,나공업체,199.0,40.62,113.5,5.33,32.0,56.2,불량
LOT00278,2호기,C조,나공업체,197.4,34.26,144.0,5.8,36.9,60.3,양품
LOT00279,4호기,A조,다공업체,176.8,48.81,156.9,6.19,57.2,61.4,불량
LOT00280,2호기,A조,나공업체,182.7,44.39,175.7,5.28,42.5,39.2,양품
LOT00281,3호기,A조,다공업체,188.7,48.78,137.9,6.91,36.5,80.6,불량
LOT00282,2호기,A조,다공업체,186.4,37.92,143.5,6.94,28.9,42.8,양품
LOT00283,2호기,A조,가공업체,191.5,31.04,145.3,6.89,20.6,40.0,양품
LOT00284,1호기,A조,다공업체,198.0,46.77,153.9,6.31,28.1,45.6,불량
LOT00285,3호기,C조,가공업체,180.3,49.59,143.1,5.07,42.0,45.2,양품
LOT00286,2호기,C조,가공업체,192.2,35.7,151.0,6.63,36.8,68.9,양품
LOT00287,1호기,A조,나공업체,178.8,46.73,121.5,6.03,36.3,60.6,불량
LOT00288,3호기,C조,가공업체,198.3,40.78,181.9,6.98,33.6,51.1,양품
LOT00289,4호기,A조,나공업체,187.0,49.91,171.2,5.64,32.6,42.7,불량
LOT00290,3호기,C조,다공업체,197.7,36.94,146.5,5.67,40.4,71.8,불량
LOT00291,1호기,A조,가공업체,194.8,34.32,148.9,6.03,25.8,57.1,양품
LOT00292,4호기,A조,나공업체,192.7,39.53,123.1,7.35,41.5,41.1,양품
LOT00293,3호기,C조,가공업체,196.1,42.12,146.9,6.05,31.9,57.3,양품
LOT00294,1호기,C조,가공업체,194.0,39.17,127.1,6.44,42.6,62.8,양품
LOT00295,2호기,A조,가공업체,193.9,39.26,121.5,6.4,26.3,55.0,양품
LOT00296,1호기,B조,가공업체,175.0,35.18,149.2,6.44,31.1,49.9,양품
LOT00297,1호기,C조,가공업체,191.7,39.47,139.0,6.48,33.8,60.7,양품
LOT00298,3호기,B조,가공업체,172.7,44.65,191.0,7.07,53.0,78.5,양품
LOT00299,2호기,C조,다공업체,204.8,45.34,105.7,6.35,40.3,49.6,불량
LOT00300,3호기,B조,다공업체,177.0,33.44,186.3,6.3,50.4,64.5,양품
LOT00301,3호기,B조,가공업체,155.9,34.15,150.5,5.18,58.3,44.2,불량
LOT00302,1호기,C조,가공업체,192.8,37.55,101.7,5.37,24.6,68.6,양품
LOT00303,1호기,C조,나공업체,195.8,46.01,136.1,5.84,38.2,44.7,양품
LOT00304,4호기,B조,다공업체,182.0,42.14,156.2,7.42,41.1,60.2,불량
LOT00305,1호기,A조,다공업체,213.1,43.41,,4.71,27.7,58.5,양품
LOT00306,2호기,C조,가공업체,180.7,51.38,150.5,7.17,39.7,41.8,양품
LOT00307,2호기,A조,다공업체,209.2,35.54,146.1,4.33,33.9,55.7,불량
LOT00308,4호기,A조,나공업체,180.7,34.38,134.8,6.49,40.2,44.9,양품
