고객번호,가입일,연령,성별,거주지역,카드등급,가입기간_개월,신용점수,월평균이용금액,최근3개월평균이용금액,이용가맹점수,온라인이용비율,리볼빙사용여부,연체횟수_최근1년,콜센터문의횟수_최근6개월,해지여부
CUST000014,2018-12-31,46.0,여성,제주,골드,89.9,658.0,490000.0,326000.0,11,0.589,미사용,0,0,유지
CUST000015,2020-03-16,27.0,남성,영남,일반,75.5,585.0,318000.0,279000.0,13,0.491,미사용,0,0,유지
CUST000016,2020-06-03,44.0,남성,호남,골드,72.9,694.0,782000.0,635000.0,13,0.494,미사용,0,0,유지
CUST000017,2021-03-04,46.0,남성,수도권,일반,63.9,624.0,468000.0,367000.0,19,0.33,미사용,0,2,해지
CUST000018,2019-04-03,43.0,여성,수도권,일반,86.9,746.0,413000.0,511000.0,14,0.306,사용,0,0,유지
CUST000019,2025-08-02,52.0,여성,영남,골드,10.9,633.0,368000.0,480000.0,11,0.081,미사용,1,2,유지
CUST000020,2022-07-24,24.0,여성,충청,일반,47.2,658.0,484000.0,614000.0,9,0.301,미사용,0,0,유지
CUST000021,2021-10-17,69.0,여성,수도권,일반,56.4,574.0,460000.0,531000.0,7,0.525,미사용,0,0,유지
CUST000022,2019-07-05,26.0,남성,수도권,일반,83.8,742.0,2821000.0,3237000.0,17,0.456,미사용,1,0,유지
CUST000023,2021-09-28,49.0,남성,수도권,골드,57.0,511.0,530000.0,701000.0,12,0.385,미사용,0,0,유지
CUST000024,2020-05-16,28.0,남성,수도권,골드,73.5,769.0,786000.0,1139000.0,18,0.368,미사용,0,0,유지
CUST000025,2019-05-24,33.0,여성,강원,플래티넘,85.2,511.0,1342000.0,621000.0,13,0.022,미사용,0,2,해지
CUST000026,2023-04-09,49.0,여성,강원,블랙,38.7,868.0,949000.0,1073000.0,18,0.491,미사용,0,1,유지
CUST000027,2020-11-15,39.0,여성,수도권,골드,67.4,619.0,209000.0,105000.0,15,0.351,미사용,0,1,유지
CUST000028,2025-05-05,33.0,여성,충청,골드,13.8,703.0,394000.0,230000.0,7,0.559,미사용,0,1,유지
CUST000029,2020-07-27,23.0,남성,수도권,골드,71.1,491.0,493000.0,651000.0,19,0.175,미사용,0,0,해지
CUST000030,2019-04-15,29.0,남성,제주,일반,86.5,649.0,248000.0,325000.0,18,0.594,미사용,1,0,유지
CUST000031,2020-06-20,49.0,남성,충청,일반,72.3,793.0,468000.0,340000.0,13,0.815,미사용,0,0,유지
CUST000032,2022-10-11,28.0,남성,충청,블랙,44.6,733.0,578000.0,621000.0,14,0.378,미사용,1,1,유지
CUST000033,2021-11-19,42.0,남성,제주,플래티넘,55.3,714.0,262000.0,178000.0,15,0.587,미사용,1,0,해지
CUST000034,2020-09-21,49.0,여성,수도권,골드,69.3,796.0,1103000.0,997000.0,12,0.58,미사용,0,0,유지
CUST000035,2018-08-07,39.0,여성,수도권,일반,94.7,645.0,1760000.0,1342000.0,16,0.664,미사용,0,1,유지
CUST000036,2019-03-21,47.0,남성,호남,플래티넘,87.3,700.0,214000.0,162000.0,19,0.815,미사용,0,0,유지
CUST000037,2023-12-24,36.0,남성,호남,플래티넘,30.2,701.0,241000.0,220000.0,12,0.586,미사용,0,1,유지
CUST000038,2020-07-31,54.0,여성,수도권,골드,71.0,558.0,62000.0,69000.0,17,0.462,미사용,0,0,유지
CUST000039,2020-12-07,45.0,남성,수도권,골드,66.7,641.0,351000.0,339000.0,13,0.163,미사용,0,0,해지
CUST000040,2023-04-27,42.0,남성,영남,골드,38.1,532.0,659000.0,754000.0,15,0.22,사용,0,1,유지
CUST000041,2020-12-04,41.0,남성,수도권,일반,66.8,639.0,724000.0,843000.0,15,0.766,미사용,0,0,유지
CUST000042,2025-03-06,71.0,여성,호남,골드,15.8,737.0,196000.0,80000.0,13,0.659,미사용,1,1,유지
CUST000043,2024-09-07,54.0,여성,수도권,일반,21.7,658.0,692000.0,609000.0,20,0.625,미사용,0,0,유지
CUST000044,2021-12-28,37.0,여성,수도권,일반,54.0,811.0,427000.0,629000.0,13,0.723,미사용,0,0,유지
CUST000045,2019-02-03,36.0,여성,영남,골드,88.8,665.0,301000.0,240000.0,17,0.645,미사용,0,0,유지
CUST000046,2019-01-06,52.0,여성,제주,골드,89.8,553.0,1965000.0,1445000.0,20,0.179,미사용,0,1,유지
CUST000047,2021-12-16,23.0,남성,제주,일반,54.4,726.0,365000.0,414000.0,9,0.408,사용,1,1,해지
CUST000048,2022-05-20,38.0,남성,강원,골드,49.3,664.0,492000.0,785000.0,20,0.327,미사용,0,1,유지
CUST000049,2020-01-30,22.0,여성,수도권,플래티넘,77.0,725.0,455000.0,405000.0,14,0.412,미사용,0,1,유지
CUST000050,2025-07-16,41.0,여성,수도권,플래티넘,11.5,,324000.0,171000.0,10,0.705,사용,0,1,유지
CUST000051,2018-03-12,41.0,여성,수도권,일반,99.6,739.0,246000.0,211000.0,16,0.424,미사용,0,0,유지
CUST000052,2022-08-10,62.0,여성,영남,일반,46.6,,787000.0,822000.0,13,0.654,미사용,0,0,유지
CUST000053,2025-07-14,42.0,여성,수도권,골드,11.5,,852000.0,1077000.0,13,0.573,사용,2,0,유지
CUST000054,2025-08-12,39.0,여성,강원,일반,10.6,698.0,1320000.0,1788000.0,10,0.56,미사용,0,0,유지
CUST000055,2021-03-21,24.0,여성,영남,일반,63.3,916.0,462000.0,208000.0,30,0.296,미사용,1,0,해지
CUST000056,2019-05-27,48.0,여성,수도권,플래티넘,85.1,666.0,363000.0,288000.0,9,0.832,미사용,0,0,유지
CUST000057,2021-09-24,30.0,여성,수도권,블랙,57.2,715.0,431000.0,453000.0,10,0.639,미사용,0,0,유지
CUST000058,2022-08-02,34.0,남성,충청,골드,46.9,,361000.0,353000.0,14,0.69,미사용,0,0,유지
CUST000059,2024-02-07,37.0,남성,수도권,골드,28.7,,197000.0,127000.0,20,0.482,미사용,0,0,유지
CUST000060,2025-07-15,,남성,호남,일반,11.5,699.0,200000.0,233000.0,15,0.492,미사용,1,0,유지
CUST000061,2024-07-01,42.0,여성,수도권,블랙,23.9,737.0,192000.0,151000.0,13,0.358,사용,0,2,유지
CUST000062,2020-08-11,46.0,여성,영남,일반,70.6,728.0,612000.0,708000.0,18,0.476,미사용,0,0,유지
CUST000063,2021-09-16,35.0,남성,강원,플래티넘,57.4,651.0,626000.0,451000.0,18,0.184,미사용,1,0,유지
CUST000064,2025-06-01,19.0,남성,수도권,플래티넘,12.9,672.0,352000.0,431000.0,15,0.24,사용,0,1,유지
CUST000065,2022-10-29,25.0,남성,영남,골드,44.0,622.0,263000.0,351000.0,11,0.704,미사용,1,2,유지
CUST000066,2023-01-07,64.0,여성,영남,일반,41.7,822.0,521000.0,616000.0,14,0.248,미사용,0,0,유지
CUST000067,2022-06-12,34.0,남성,수도권,플래티넘,48.6,754.0,767000.0,976000.0,10,0.0,사용,0,0,유지
CUST000068,2018-07-28,35.0,남성,호남,골드,95.1,,345000.0,255000.0,20,0.456,사용,0,1,유지
CUST000069,2023-01-31,76.0,여성,제주,골드,40.9,598.0,628000.0,671000.0,16,0.617,미사용,1,1,유지
CUST000070,2021-03-21,67.0,여성,충청,플래티넘,63.3,691.0,477000.0,585000.0,18,0.384,사용,0,0,유지
CUST000071,2021-05-31,33.0,여성,제주,블랙,61.0,,465000.0,410000.0,14,0.623,사용,0,0,유지
CUST000072,2024-01-19,41.0,여성,영남,일반,29.3,583.0,1028000.0,1345000.0,12,,미사용,0,3,해지
CUST000073,2019-07-03,59.0,여성,수도권,플래티넘,83.9,633.0,629000.0,675000.0,18,0.546,사용,1,0,유지
CUST000074,2020-02-08,47.0,여성,수도권,골드,76.7,755.0,318000.0,212000.0,12,0.584,미사용,0,0,유지
CUST000075,2025-02-02,51.0,여성,영남,골드,16.9,744.0,376000.0,350000.0,15,0.438,사용,0,1,유지
CUST000076,2020-10-06,46.0,남성,영남,골드,68.8,657.0,736000.0,708000.0,13,,미사용,0,1,해지
CUST000077,2022-01-15,26.0,남성,영남,일반,53.4,684.0,516000.0,362000.0,24,0.725,사용,0,0,유지
CUST000078,2023-01-22,35.0,남성,영남,일반,41.2,535.0,623000.0,614000.0,15,0.389,미사용,0,0,유지
CUST000079,2023-08-17,19.0,여성,수도권,일반,34.4,627.0,617000.0,814000.0,18,0.572,미사용,0,0,유지
CUST000080,2018-06-07,22.0,여성,강원,플래티넘,96.7,574.0,578000.0,470000.0,10,0.382,미사용,0,0,유지
CUST000081,2021-08-23,53.0,여성,강원,일반,58.2,649.0,555000.0,372000.0,8,0.204,미사용,1,1,유지
CUST000082,2024-03-22,41.0,남성,수도권,일반,27.3,615.0,364000.0,575000.0,11,0.351,사용,1,2,유지
CUST000083,2021-02-09,41.0,여성,수도권,일반,64.6,688.0,492000.0,660000.0,25,,미사용,0,1,유지
CUST000084,2024-04-15,51.0,남성,수도권,골드,26.5,736.0,868000.0,748000.0,17,0.399,미사용,0,1,유지
CUST000085,2020-12-18,36.0,여성,수도권,골드,66.4,591.0,1185000.0,1101000.0,10,0.702,미사용,2,1,유지
CUST000086,2022-02-14,28.0,여성,수도권,일반,52.5,589.0,535000.0,458000.0,14,0.079,미사용,0,1,유지
CUST000087,2025-07-21,41.0,남성,수도권,블랙,11.3,647.0,127000.0,130000.0,11,0.0,미사용,0,1,유지
CUST000088,2020-11-03,35.0,여성,호남,일반,67.8,617.0,695000.0,632000.0,14,0.532,사용,3,0,유지
CUST000089,2025-03-19,33.0,여성,수도권,일반,15.4,617.0,309000.0,247000.0,16,0.601,미사용,1,0,해지
CUST000090,2019-07-13,34.0,남성,수도권,일반,83.6,,291000.0,251000.0,12,0.723,미사용,0,1,유지
CUST000091,2018-05-26,21.0,남성,수도권,일반,97.1,658.0,788000.0,866000.0,9,0.397,사용,1,3,유지
CUST000092,2023-05-28,25.0,여성,강원,플래티넘,37.1,653.0,214000.0,228000.0,14,0.992,미사용,0,1,유지
CUST000093,2018-08-18,37.0,남성,영남,골드,94.4,517.0,195000.0,212000.0,15,0.36,미사용,2,0,유지
CUST000094,2019-01-08,53.0,남성,수도권,골드,89.7,712.0,554000.0,741000.0,13,0.468,미사용,0,1,유지
CUST000095,2021-03-31,36.0,여성,영남,골드,63.0,705.0,1041000.0,772000.0,13,0.903,미사용,0,1,유지
CUST000096,2024-09-21,32.0,남성,수도권,플래티넘,21.3,532.0,649000.0,773000.0,17,0.117,미사용,0,0,해지
CUST000097,2020-07-14,62.0,남성,수도권,일반,71.5,758.0,510000.0,457000.0,6,0.608,미사용,0,0,유지
CUST000098,2021-01-01,47.0,남성,호남,골드,65.9,748.0,492000.0,373000.0,15,0.346,미사용,0,1,유지
CUST000099,2018-07-06,44.0,남성,수도권,블랙,95.8,619.0,589000.0,662000.0,13,0.619,미사용,0,3,유지
CUST000100,2022-03-28,39.0,여성,영남,일반,51.1,752.0,425000.0,387000.0,14,0.384,미사용,1,0,유지
CUST000101,2018-09-20,37.0,남성,강원,골드,93.3,853.0,663000.0,486000.0,13,0.204,사용,0,1,유지
CUST000102,2018-01-11,39.0,남성,충청,플래티넘,101.6,689.0,775000.0,832000.0,19,0.294,사용,0,0,해지
CUST000103,2023-03-11,36.0,여성,호남,골드,39.7,480.0,292000.0,473000.0,19,0.8,미사용,1,0,유지
CUST000104,2019-12-04,33.0,여성,영남,골드,78.8,402.0,600000.0,659000.0,17,0.5,미사용,0,0,유지
CUST000105,2023-12-15,51.0,여성,수도권,일반,30.5,660.0,340000.0,265000.0,13,0.617,미사용,1,1,유지
CUST000106,2019-12-12,45.0,남성,호남,골드,78.6,725.0,190000.0,207000.0,9,0.78,미사용,0,0,유지
CUST000107,2018-04-10,33.0,남성,수도권,일반,98.7,636.0,263000.0,223000.0,16,0.442,미사용,1,0,해지
CUST000108,2024-03-28,54.0,여성,호남,플래티넘,27.1,554.0,120000.0,29000.0,12,0.423,미사용,0,1,해지
CUST000109,2020-09-20,35.0,여성,강원,일반,69.3,854.0,285000.0,275000.0,13,0.478,사용,0,0,유지
CUST000110,2023-09-20,45.0,남성,영남,골드,33.3,613.0,730000.0,731000.0,19,0.217,사용,0,1,유지
CUST000111,2019-04-04,50.0,남성,수도권,일반,86.9,840.0,226000.0,196000.0,15,0.262,미사용,0,3,유지
CUST000112,2021-01-09,29.0,여성,영남,일반,65.6,716.0,644000.0,740000.0,19,0.34,사용,0,0,유지
CUST000113,2024-01-13,26.0,여성,수도권,일반,29.5,608.0,643000.0,826000.0,18,0.894,미사용,1,1,유지
CUST000114,2018-12-07,44.0,남성,수도권,골드,90.7,690.0,631000.0,479000.0,9,0.509,미사용,1,1,유지
CUST000115,2018-07-24,36.0,남성,수도권,플래티넘,95.2,787.0,467000.0,373000.0,17,0.086,미사용,0,0,유지
CUST000116,2024-12-18,45.0,남성,영남,골드,18.4,755.0,231000.0,248000.0,17,0.39,사용,0,1,유지
CUST000117,2023-04-02,37.0,남성,영남,일반,38.9,509.0,435000.0,485000.0,13,0.27,미사용,0,1,해지
CUST000118,2025-07-18,37.0,남성,영남,일반,11.4,627.0,637000.0,424000.0,17,0.279,미사용,0,0,유지
CUST000119,2018-12-08,34.0,여성,호남,골드,90.7,490.0,781000.0,709000.0,13,0.257,사용,0,2,유지
CUST000120,2025-07-31,41.0,여성,충청,일반,11.0,824.0,932000.0,957000.0,14,0.475,미사용,0,0,유지
CUST000121,2022-05-17,19.0,여성,영남,일반,49.4,723.0,925000.0,933000.0,10,0.299,미사용,0,0,유지
CUST000122,2024-01-31,28.0,남성,수도권,일반,28.9,609.0,1640000.0,1523000.0,12,0.361,미사용,0,1,유지
CUST000123,2018-02-12,27.0,남성,호남,플래티넘,100.5,582.0,785000.0,319000.0,18,0.654,미사용,0,0,유지
CUST000124,2018-07-10,47.0,남성,충청,플래티넘,95.7,,184000.0,120000.0,16,0.982,미사용,1,3,유지
CUST000125,2022-02-26,52.0,남성,제주,일반,52.1,676.0,310000.0,134000.0,15,0.398,미사용,1,1,유지
CUST000126,2023-12-31,43.0,남성,영남,일반,30.0,734.0,744000.0,978000.0,18,0.393,사용,0,0,유지
CUST000127,2025-06-12,38.0,남성,호남,일반,12.6,759.0,311000.0,399000.0,22,0.889,미사용,0,1,유지
CUST000128,2021-05-13,42.0,여성,충청,플래티넘,61.6,768.0,496000.0,237000.0,15,0.409,미사용,0,4,유지
CUST000129,2021-04-14,38.0,여성,수도권,일반,62.5,559.0,720000.0,581000.0,13,0.331,미사용,0,0,유지
CUST000130,2022-02-16,38.0,여성,강원,골드,52.4,722.0,884000.0,1181000.0,16,0.576,미사용,0,1,유지
CUST000131,2022-01-24,21.0,여성,영남,골드,53.2,576.0,484000.0,426000.0,17,0.664,미사용,0,1,유지
CUST000132,2019-01-13,,남성,수도권,골드,89.5,661.0,232000.0,282000.0,19,0.402,미사용,0,0,유지
CUST000133,2020-03-29,33.0,남성,수도권,골드,75.0,682.0,411000.0,239000.0,10,0.481,미사용,2,2,해지
CUST000134,2023-05-21,52.0,여성,호남,일반,37.3,741.0,244000.0,281000.0,19,0.568,미사용,0,0,유지
CUST000135,2022-04-13,34.0,남성,수도권,일반,50.6,770.0,297000.0,299000.0,16,0.329,미사용,1,0,유지
CUST000136,2025-06-05,24.0,여성,호남,일반,12.8,755.0,164000.0,94000.0,18,0.607,미사용,1,0,해지
CUST000137,2023-09-28,37.0,남성,충청,골드,33.0,611.0,872000.0,888000.0,12,0.599,미사용,0,4,유지
CUST000138,2024-03-10,36.0,남성,영남,일반,27.7,738.0,770000.0,786000.0,17,0.599,미사용,0,0,유지
CUST000139,2019-05-15,40.0,남성,수도권,골드,85.5,591.0,538000.0,702000.0,16,0.66,사용,0,1,유지
CUST000140,2020-12-04,54.0,여성,강원,일반,66.8,602.0,449000.0,495000.0,17,0.422,미사용,0,1,유지
CUST000141,2025-04-24,34.0,남성,수도권,골드,14.2,615.0,456000.0,441000.0,12,0.412,미사용,0,0,유지
CUST000142,2019-10-29,51.0,여성,강원,일반,80.0,577.0,868000.0,625000.0,10,0.039,미사용,1,1,유지
CUST000143,2019-12-23,47.0,여성,수도권,일반,78.2,570.0,481000.0,532000.0,18,0.55,미사용,0,0,유지
CUST000144,2020-05-10,41.0,여성,충청,골드,73.7,748.0,419000.0,417000.0,10,0.172,미사용,0,2,유지
CUST000145,2024-05-07,19.0,여성,수도권,플래티넘,25.8,724.0,412000.0,525000.0,15,0.541,미사용,0,2,유지
CUST000146,2021-08-30,28.0,여성,수도권,골드,58.0,635.0,800000.0,933000.0,13,0.263,미사용,0,1,유지
CUST000147,2018-08-11,69.0,여성,제주,일반,94.6,735.0,289000.0,315000.0,10,0.605,미사용,0,2,유지
CUST000148,2022-03-30,39.0,남성,수도권,플래티넘,51.0,651.0,943000.0,658000.0,10,0.0,미사용,2,1,해지
CUST000149,2023-10-25,23.0,남성,영남,일반,32.2,683.0,227000.0,301000.0,11,0.199,미사용,1,1,유지
CUST000150,2020-11-03,39.0,여성,호남,플래티넘,67.8,521.0,389000.0,462000.0,11,0.956,미사용,0,2,유지
CUST000151,2021-06-21,50.0,남성,수도권,일반,60.3,788.0,444000.0,465000.0,14,,미사용,2,0,해지
CUST000152,2025-07-15,32.0,여성,영남,일반,11.5,657.0,270000.0,346000.0,13,0.484,미사용,1,0,해지
CUST000153,2022-04-14,45.0,여성,수도권,골드,50.5,585.0,719000.0,646000.0,14,0.418,미사용,2,1,해지
CUST000154,2018-01-03,35.0,남성,호남,골드,101.8,710.0,460000.0,541000.0,15,0.672,미사용,1,0,유지
CUST000155,2023-09-20,37.0,여성,호남,골드,33.3,772.0,641000.0,533000.0,15,0.505,미사용,1,2,해지
CUST000156,2022-07-03,31.0,여성,수도권,플래티넘,47.9,671.0,438000.0,526000.0,13,0.974,미사용,0,1,유지
CUST000157,2022-06-24,53.0,남성,수도권,플래티넘,48.2,519.0,482000.0,644000.0,9,0.441,미사용,0,0,유지
CUST000158,2021-08-06,58.0,남성,수도권,일반,58.8,777.0,815000.0,823000.0,12,0.01,미사용,0,0,유지
CUST000159,2022-01-11,20.0,남성,충청,일반,53.6,688.0,446000.0,185000.0,13,0.339,미사용,0,1,유지
CUST000160,2019-02-16,51.0,남성,영남,일반,88.4,639.0,210000.0,165000.0,18,0.774,미사용,0,0,유지
CUST000161,2019-08-18,53.0,여성,영남,골드,82.4,580.0,172000.0,171000.0,14,0.298,미사용,0,1,유지
CUST000162,2023-01-11,48.0,여성,수도권,일반,41.6,507.0,527000.0,699000.0,12,0.693,사용,0,1,유지
CUST000163,2024-03-25,39.0,남성,영남,골드,27.2,795.0,119000.0,102000.0,16,0.345,미사용,0,1,유지
CUST000164,2019-01-25,45.0,여성,수도권,블랙,89.1,464.0,862000.0,736000.0,13,0.282,미사용,0,1,유지
CUST000165,2018-05-10,46.0,남성,강원,일반,97.7,628.0,328000.0,197000.0,13,0.471,사용,0,0,유지
CUST000166,2019-05-27,57.0,여성,충청,일반,85.1,678.0,463000.0,365000.0,14,0.959,미사용,0,0,유지
CUST000167,2018-03-17,19.0,남성,호남,골드,99.4,885.0,1538000.0,1335000.0,10,0.243,미사용,0,0,유지
CUST000168,2024-03-14,57.0,남성,영남,골드,27.5,672.0,356000.0,334000.0,24,0.617,사용,1,0,해지
CUST000169,2022-07-27,49.0,남성,수도권,골드,47.1,629.0,254000.0,195000.0,11,0.333,사용,0,0,해지
CUST000170,2022-06-13,50.0,여성,수도권,일반,48.6,674.0,306000.0,271000.0,10,0.79,미사용,0,2,유지
CUST000171,2021-02-27,38.0,여성,수도권,일반,64.0,655.0,1498000.0,1609000.0,24,0.989,미사용,0,0,유지
CUST000172,2021-10-21,42.0,여성,수도권,플래티넘,56.3,731.0,167000.0,139000.0,12,0.452,사용,1,0,유지
CUST000173,2025-07-14,40.0,여성,수도권,일반,11.5,699.0,492000.0,549000.0,15,0.68,미사용,1,1,유지
CUST000174,2021-09-01,46.0,남성,수도권,일반,57.9,783.0,1031000.0,941000.0,18,0.217,미사용,0,0,유지
CUST000175,2022-04-17,27.0,남성,영남,일반,50.4,690.0,158000.0,207000.0,16,0.573,미사용,0,0,유지
CUST000176,2023-07-15,39.0,남성,수도권,일반,35.5,686.0,362000.0,330000.0,11,0.297,미사용,1,1,유지
CUST000177,2023-11-03,34.0,여성,수도권,일반,31.9,769.0,254000.0,229000.0,17,0.524,미사용,0,1,유지
CUST000178,2020-05-11,52.0,남성,영남,골드,73.6,715.0,143000.0,146000.0,14,0.644,사용,0,0,유지
CUST000179,2024-05-25,33.0,여성,강원,일반,25.2,684.0,431000.0,278000.0,17,0.551,미사용,1,0,유지
CUST000180,2025-03-14,33.0,남성,강원,골드,15.5,642.0,188000.0,130000.0,14,0.911,미사용,0,0,유지
CUST000181,2021-12-30,40.0,남성,제주,플래티넘,54.0,883.0,413000.0,396000.0,12,0.756,미사용,0,1,유지
CUST000182,2018-02-20,20.0,여성,충청,일반,100.3,681.0,421000.0,396000.0,9,0.611,미사용,0,1,유지
CUST000183,2024-07-18,73.0,여성,충청,골드,23.4,,516000.0,290000.0,6,0.301,사용,1,1,유지
CUST000184,2021-05-21,39.0,여성,수도권,일반,61.3,601.0,508000.0,467000.0,7,0.499,미사용,1,0,유지
CUST000185,2019-03-16,57.0,남성,수도권,일반,87.5,610.0,458000.0,425000.0,15,0.185,사용,1,1,유지
CUST000186,2021-07-26,39.0,남성,수도권,일반,59.1,699.0,133000.0,152000.0,8,0.45,미사용,0,1,유지
CUST000187,2020-01-06,29.0,여성,영남,플래티넘,77.8,811.0,186000.0,188000.0,9,0.759,미사용,0,4,유지
CUST000188,2023-02-13,54.0,여성,호남,일반,40.5,759.0,1121000.0,897000.0,11,0.309,미사용,0,0,유지
CUST000189,2024-09-13,34.0,여성,수도권,플래티넘,21.5,696.0,139000.0,208000.0,11,0.836,미사용,0,0,유지
CUST000190,2021-10-09,41.0,여성,수도권,골드,56.7,524.0,153000.0,152000.0,15,0.728,미사용,0,1,유지
CUST000191,2022-09-28,38.0,여성,수도권,플래티넘,45.0,812.0,525000.0,158000.0,19,0.117,미사용,0,1,유지
CUST000192,2023-02-10,19.0,남성,충청,일반,40.6,667.0,917000.0,514000.0,18,0.345,미사용,0,1,유지
CUST000193,2024-09-26,51.0,여성,수도권,일반,21.1,745.0,1290000.0,1037000.0,19,0.466,미사용,0,0,유지
CUST000194,2018-06-05,51.0,남성,충청,일반,96.8,640.0,237000.0,244000.0,12,0.586,미사용,1,0,유지
CUST000195,2024-09-27,56.0,남성,수도권,일반,21.1,640.0,461000.0,146000.0,15,0.35,사용,0,0,해지
CUST000196,2021-06-29,47.0,여성,충청,골드,60.0,593.0,1294000.0,1524000.0,20,0.212,미사용,0,1,유지
CUST000197,2024-10-29,47.0,여성,수도권,일반,20.0,628.0,1014000.0,945000.0,17,0.702,사용,2,1,유지
CUST000198,2020-05-31,27.0,여성,호남,플래티넘,73.0,598.0,778000.0,631000.0,12,0.16,사용,0,0,유지
CUST000199,2025-03-13,63.0,남성,수도권,일반,15.6,621.0,317000.0,332000.0,6,0.697,사용,1,1,해지
CUST000200,2022-07-08,44.0,여성,충청,골드,47.7,628.0,519000.0,652000.0,19,0.034,미사용,0,0,유지
CUST000201,2022-10-11,31.0,여성,제주,일반,44.6,758.0,329000.0,480000.0,12,0.443,미사용,0,0,유지
CUST000202,2019-09-24,26.0,여성,제주,골드,81.2,752.0,380000.0,352000.0,13,0.618,미사용,1,0,유지
CUST000203,2023-06-25,47.0,여성,호남,블랙,36.2,565.0,640000.0,423000.0,10,0.514,사용,0,0,유지
CUST000204,2021-01-29,55.0,여성,수도권,일반,65.0,803.0,318000.0,205000.0,14,0.588,미사용,1,2,유지
CUST000205,2019-11-14,45.0,여성,호남,골드,79.5,700.0,428000.0,445000.0,15,0.082,미사용,1,0,유지
CUST000206,2018-06-28,48.0,남성,제주,골드,96.1,644.0,900000.0,898000.0,13,0.771,사용,1,0,해지
CUST000207,2024-02-18,68.0,여성,수도권,골드,28.4,660.0,464000.0,478000.0,21,0.697,미사용,2,0,유지
CUST000208,2022-05-13,26.0,여성,호남,골드,49.6,777.0,967000.0,911000.0,10,0.518,사용,0,1,유지
CUST000209,2018-08-20,33.0,여성,영남,일반,94.3,565.0,257000.0,136000.0,15,0.925,사용,0,0,유지
CUST000210,2023-02-25,55.0,여성,호남,일반,40.1,624.0,261000.0,285000.0,21,0.327,미사용,1,0,유지
CUST000211,2025-07-24,50.0,여성,영남,블랙,11.2,661.0,934000.0,1414000.0,17,0.164,미사용,1,0,유지
CUST000212,2018-03-18,36.0,남성,호남,일반,99.4,435.0,676000.0,1062000.0,10,0.313,미사용,0,1,유지
CUST000213,2025-07-18,45.0,남성,수도권,골드,11.4,672.0,371000.0,201000.0,15,0.442,미사용,0,1,유지
CUST000214,2022-10-18,41.0,여성,충청,일반,44.4,800.0,232000.0,259000.0,15,0.452,미사용,0,0,유지
CUST000215,2023-10-01,47.0,남성,호남,일반,33.0,616.0,225000.0,150000.0,20,0.134,미사용,0,0,유지
CUST000216,2025-03-29,59.0,남성,충청,골드,15.0,,484000.0,469000.0,12,0.538,미사용,0,0,유지
CUST000217,2020-02-08,26.0,남성,제주,골드,76.7,665.0,343000.0,287000.0,10,0.559,미사용,0,2,유지
CUST000218,2018-12-28,54.0,남성,충청,골드,90.0,,344000.0,407000.0,13,0.659,미사용,0,0,유지
CUST000219,2020-05-05,49.0,여성,호남,일반,73.8,582.0,377000.0,292000.0,19,0.0,미사용,0,1,해지
CUST000220,2024-08-16,36.0,남성,호남,골드,22.4,738.0,603000.0,661000.0,14,0.274,미사용,1,1,유지
CUST000221,2024-08-31,55.0,여성,호남,일반,21.9,438.0,453000.0,279000.0,7,0.871,사용,2,3,해지
CUST000222,2022-07-02,50.0,남성,영남,골드,47.9,813.0,510000.0,502000.0,10,0.705,미사용,0,0,유지
