일자,지점코드,지역,판매채널,영업사원수,광고비,방문고객수,평균할인율,고객만족도,매출액
2025-02-05,BR025,영남,온라인,18,5131000.0,334,0.127,4.22,35307000.0
2024-03-30,BR040,수도권,직영점,15,4817000.0,325,0.166,4.27,65541000.0
2025-01-08,BR016,호남,온라인,7,2229000.0,322,0.05,4.72,19485000.0
2024-03-01,BR042,호남,대리점,14,3890000.0,325,0.136,4.71,27906000.0
2025-02-19,BR039,호남,온라인,14,4241000.0,326,0.156,3.87,30943000.0
2025-02-06,BR015,충청,온라인,12,872000.0,318,0.102,4.2,32257000.0
2024-02-24,BR022,수도권,직영점,2,6246000.0,285,0.104,3.17,46612000.0
2025-04-29,BR024,영남,대리점,17,4240000.0,301,0.129,4.15,45205000.0
2024-09-23,BR035,호남,대리점,19,3669000.0,344,0.126,3.7,26982000.0
2025-05-18,BR032,충청,직영점,19,4262000.0,311,0.136,4.01,40547000.0
2024-01-27,BR039,호남,직영점,19,3372000.0,299,0.135,3.26,30129000.0
2024-04-24,BR017,수도권,온라인,18,2528000.0,313,0.066,,47519000.0
2024-11-12,BR023,호남,직영점,15,2986000.0,306,0.155,3.25,27662000.0
2024-04-30,BR020,수도권,대리점,3,799000.0,299,0.163,4.17,24170000.0
2024-07-30,BR041,수도권,온라인,10,8842000.0,344,0.118,3.49,49831000.0
2025-02-26,BR014,영남,직영점,6,2497000.0,342,0.043,3.68,42254000.0
2024-04-02,BR027,수도권,대리점,5,8747000.0,329,0.105,4.68,52124000.0
2025-03-09,BR006,수도권,온라인,16,3022000.0,334,0.119,4.39,45083000.0
2024-03-07,BR039,수도권,대리점,16,1700000.0,314,0.058,4.67,50291000.0
2024-04-22,BR018,충청,직영점,11,6130000.0,332,0.094,4.88,43086000.0
2025-01-11,BR016,호남,직영점,15,3568000.0,361,0.047,3.71,35925000.0
2025-05-22,BR027,수도권,온라인,4,10869000.0,309,0.137,4.85,50999000.0
2024-04-19,BR023,영남,직영점,5,1666000.0,326,0.117,3.37,34149000.0
2024-07-10,BR039,호남,대리점,17,6297000.0,336,0.036,4.47,45441000.0
2025-08-15,BR024,수도권,직영점,10,6512000.0,327,0.126,3.85,57930000.0
2025-09-25,BR024,수도권,대리점,11,4478000.0,315,0.107,3.63,40559000.0
2025-01-06,BR005,호남,온라인,10,6547000.0,319,0.133,4.41,33710000.0
2024-10-13,BR001,호남,대리점,5,2540000.0,286,0.092,4.57,26678000.0
2024-08-09,BR018,영남,온라인,16,1406000.0,349,0.074,4.56,32169000.0
2025-01-26,BR045,호남,직영점,15,1823000.0,323,0.075,4.21,35570000.0
2025-01-13,BR042,수도권,대리점,14,2876000.0,325,0.086,4.17,44021000.0
2024-07-07,BR029,충청,온라인,8,4633000.0,331,0.111,4.36,32484000.0
2024-01-15,BR029,영남,대리점,13,1488000.0,331,0.117,4.25,28631000.0
2024-04-06,BR018,수도권,직영점,19,2138000.0,328,0.101,4.37,52829000.0
2025-09-05,BR008,호남,온라인,13,1587000.0,305,0.091,4.2,24749000.0
2024-09-24,BR001,충청,직영점,10,5186000.0,340,0.094,4.52,47804000.0
2024-11-04,BR016,호남,대리점,6,,286,0.223,3.29,35444000.0
2024-10-25,BR015,충청,온라인,11,1212000.0,310,0.075,4.03,18696000.0
2025-05-15,BR009,수도권,직영점,8,4015000.0,326,0.085,3.41,54540000.0
2024-02-11,BR012,수도권,직영점,13,5616000.0,326,0.258,4.24,58440000.0
2024-02-22,BR002,수도권,직영점,2,2377000.0,335,0.129,,36773000.0
2024-06-25,BR028,호남,직영점,5,840000.0,309,0.048,3.86,17516000.0
2024-11-07,BR042,수도권,직영점,16,6094000.0,301,0.148,4.16,60229000.0
2025-03-05,BR032,수도권,대리점,8,792000.0,287,0.069,4.48,42379000.0
2024-11-10,BR021,수도권,직영점,9,7266000.0,329,0.151,3.07,60971000.0
2024-10-09,BR019,수도권,대리점,11,1560000.0,331,0.101,3.84,36646000.0
2025-08-23,BR014,호남,직영점,9,684000.0,323,0.09,4.28,37811000.0
2024-04-13,BR007,충청,직영점,15,1931000.0,337,0.182,,22655000.0
2024-12-31,BR027,강원,직영점,6,2713000.0,313,0.135,3.61,23093000.0
2024-12-13,BR026,수도권,대리점,15,3136000.0,305,0.154,4.65,44715000.0
2024-10-30,BR001,영남,대리점,5,4244000.0,289,0.13,4.6,38181000.0
2025-05-31,BR019,충청,직영점,8,3337000.0,301,0.09,4.29,40498000.0
2024-06-19,BR013,충청,온라인,12,8256000.0,317,0.138,4.54,39305000.0
2025-09-02,BR008,호남,대리점,17,2622000.0,313,0.164,,26239000.0
2024-07-31,BR032,강원,직영점,6,3461000.0,303,0.116,4.38,30970000.0
2024-12-14,BR024,호남,온라인,12,,337,0.191,3.94,27866000.0
2024-11-29,BR029,수도권,직영점,3,605000.0,333,0.148,4.16,28155000.0
2025-06-27,BR033,수도권,직영점,3,1023000.0,297,0.12,3.78,26486000.0
2024-10-07,BR045,영남,대리점,15,2884000.0,330,0.121,4.73,43658000.0
2024-07-01,BR037,수도권,직영점,14,3756000.0,346,0.116,4.86,56790000.0
2024-01-14,BR028,영남,직영점,8,386000.0,340,0.054,4.79,31845000.0
2024-08-20,BR040,영남,대리점,13,8497000.0,343,0.106,3.9,46090000.0
2025-06-12,BR022,영남,직영점,8,3965000.0,322,0.12,3.62,40580000.0
2024-01-07,BR045,호남,온라인,6,2769000.0,348,0.091,4.74,25296000.0
2025-07-27,BR035,영남,온라인,9,3841000.0,324,0.125,4.37,25039000.0
2024-12-13,BR030,수도권,대리점,7,1846000.0,313,0.111,4.26,45651000.0
2024-03-30,BR041,수도권,대리점,16,3160000.0,313,0.145,3.78,49954000.0
2024-07-12,BR024,영남,대리점,9,3519000.0,324,0.14,4.31,33302000.0
2024-12-20,BR033,충청,온라인,7,6140000.0,302,0.118,3.56,27112000.0
2024-07-21,BR013,수도권,직영점,11,2453000.0,346,0.048,4.42,54499000.0
2024-03-10,BR044,충청,직영점,15,812000.0,294,0.191,4.79,28431000.0
2025-03-02,BR029,호남,대리점,6,1375000.0,342,0.104,4.92,28244000.0
2025-03-06,BR036,호남,대리점,18,2309000.0,309,0.106,4.45,28272000.0
2024-03-17,BR021,영남,직영점,10,899000.0,347,0.095,3.41,35088000.0
2024-06-28,BR040,충청,대리점,13,1252000.0,292,0.088,4.2,25049000.0
2024-06-05,BR004,수도권,직영점,19,1386000.0,334,0.179,5.0,49115000.0
2025-02-26,BR006,충청,온라인,9,2194000.0,316,0.172,3.67,30047000.0
2025-04-12,BR023,수도권,직영점,5,3930000.0,340,0.13,4.07,46423000.0
2025-04-10,BR033,영남,직영점,15,2116000.0,326,0.105,4.81,45132000.0
2025-08-23,BR037,영남,직영점,2,4111000.0,330,0.138,4.41,27580000.0
2025-05-06,BR020,수도권,직영점,10,2771000.0,303,0.113,5.0,47846000.0
2024-07-24,BR030,수도권,직영점,19,1289000.0,293,0.101,,53851000.0
2024-03-09,BR025,수도권,직영점,9,3560000.0,285,0.125,3.61,47081000.0
2025-01-28,BR044,호남,직영점,14,3188000.0,345,0.09,4.71,30516000.0
2025-08-09,BR030,영남,직영점,11,,345,0.121,3.5,43039000.0
2025-09-16,BR019,수도권,직영점,5,4773000.0,311,0.119,4.0,49166000.0
2024-05-27,BR044,호남,직영점,7,6265000.0,309,0.137,4.07,42108000.0
2024-05-31,BR005,충청,직영점,11,4019000.0,345,0.082,4.62,37559000.0
2024-01-24,BR045,충청,직영점,3,3115000.0,346,0.142,4.41,21423000.0
2024-03-31,BR007,강원,직영점,9,4197000.0,361,0.069,4.33,28160000.0
2024-12-21,BR013,수도권,직영점,9,1960000.0,329,0.084,3.9,41632000.0
2024-12-15,BR037,수도권,직영점,17,1849000.0,314,0.086,4.71,58601000.0
2024-08-25,BR034,영남,온라인,4,6820000.0,327,0.062,5.0,24652000.0
